date,steps,incident,comment
24-02-2014,8870,0,0
25-02-2014,7670,0,0
26-02-2014,7585,0,0
27-02-2014,3793,0,0
28-02-2014,12235,0,0
01-03-2014,15390,0,0
02-03-2014,10545,0,0
03-03-2014,7909,0,0
04-03-2014,19881,0,0
05-03-2014,5568,0,0
06-03-2014,631,0,0
07-03-2014,1962,0,0
08-03-2014,10974,0,0
09-03-2014,3376,0,0
10-03-2014,8200,0,0
11-03-2014,8518,0,0
12-03-2014,8158,0,0
13-03-2014,8463,0,0
14-03-2014,9049,0,0
15-03-2014,3314,0,0
16-03-2014,4053,0,0
17-03-2014,11016,0,0
18-03-2014,11063,0,0
19-03-2014,6183,0,0
20-03-2014,7879,0,0
21-03-2014,10093,0,0
22-03-2014,8851,0,0
23-03-2014,14330,0,0
24-03-2014,7293,0,0
25-03-2014,9323,0,0
26-03-2014,11428,0,0
27-03-2014,9963,0,0
28-03-2014,9531,0,0
29-03-2014,8140,0,0
30-03-2014,3125,0,0
31-03-2014,3734,0,0
01-04-2014,7515,0,0
02-04-2014,5046,0,0
03-04-2014,1200,0,0
04-04-2014,8105,0,0
05-04-2014,10085,0,0
06-04-2014,7665,0,0
07-04-2014,9387,0,0
08-04-2014,11245,0,0
09-04-2014,7184,0,0
10-04-2014,2249,0,0
11-04-2014,16341,0,0
12-04-2014,22131,0,0
13-04-2014,10465,0,0
14-04-2014,8397,0,0
15-04-2014,5439,0,0
16-04-2014,7368,0,0
17-04-2014,3170,0,0
18-04-2014,10614,0,0
19-04-2014,20568,0,0
20-04-2014,17409,0,0
21-04-2014,4771,0,0
22-04-2014,6662,0,0
23-04-2014,11187,0,0
24-04-2014,9458,0,0
25-04-2014,16559,0,0
26-04-2014,19081,0,0
27-04-2014,3533,0,0
28-04-2014,20972,0,0
29-04-2014,1097,0,0
30-04-2014,1755,0,0
01-05-2014,3609,0,0
02-05-2014,3868,0,0
03-05-2014,8118,0,0
04-05-2014,6568,0,0
05-05-2014,3624,0,0
06-05-2014,6852,0,0
07-05-2014,4750,0,0
08-05-2014,7324,0,0
09-05-2014,10524,0,0
10-05-2014,7224,0,0
11-05-2014,3543,0,0
12-05-2014,7738,0,0
13-05-2014,7584,0,0
14-05-2014,6278,0,0
15-05-2014,7388,0,0
16-05-2014,4160,0,0
17-05-2014,1316,0,0
18-05-2014,5306,0,0
19-05-2014,12264,0,0
20-05-2014,8319,0,0
21-05-2014,12579,0,0
22-05-2014,13016,0,0
23-05-2014,12690,0,0
24-05-2014,4108,0,0
25-05-2014,4142,1,Kruisband gescheurd
26-05-2014,7763,0,0
27-05-2014,10430,0,0
28-05-2014,10731,0,0
29-05-2014,1862,0,0
30-05-2014,3798,0,0
31-05-2014,8170,0,0
01-06-2014,8006,0,0
02-06-2014,11072,0,0
03-06-2014,10047,0,0
04-06-2014,7096,0,0
05-06-2014,1280,0,0
06-06-2014,10672,0,0
07-06-2014,2929,0,0
08-06-2014,14426,0,0
09-06-2014,7532,0,0
10-06-2014,8914,0,0
11-06-2014,12112,0,0
12-06-2014,5243,0,0
13-06-2014,14951,0,0
14-06-2014,6742,0,0
15-06-2014,24224,0,0
16-06-2014,7482,0,0
17-06-2014,8197,0,0
18-06-2014,7279,0,0
19-06-2014,9547,0,0
20-06-2014,4400,0,0
21-06-2014,5752,0,0
22-06-2014,9360,0,0
23-06-2014,3472,1,Kijkoperatie
24-06-2014,1766,0,0
25-06-2014,1211,0,0
26-06-2014,2586,0,0
27-06-2014,4562,0,0
28-06-2014,6019,0,0
29-06-2014,9620,0,0
30-06-2014,1383,0,0
01-07-2014,4519,0,0
02-07-2014,5436,0,0
03-07-2014,6276,0,0
04-07-2014,7105,0,0
05-07-2014,7051,0,0
06-07-2014,12117,0,0
07-07-2014,22247,0,0
08-07-2014,19633,0,0
09-07-2014,5132,0,0
10-07-2014,24315,0,0
11-07-2014,19252,0,0
12-07-2014,14105,0,0
13-07-2014,9275,0,0
14-07-2014,17054,0,0
15-07-2014,20300,0,0
16-07-2014,24116,0,0
17-07-2014,21618,0,0
18-07-2014,26121,0,0
19-07-2014,6707,0,0
20-07-2014,8400,0,0
21-07-2014,19995,0,0
22-07-2014,18731,0,0
23-07-2014,11667,0,0
24-07-2014,2267,0,0
25-07-2014,7481,0,0
26-07-2014,7568,0,0
27-07-2014,7948,0,0
28-07-2014,11849,0,0
29-07-2014,9574,0,0
30-07-2014,7465,0,0
31-07-2014,17151,0,0
01-08-2014,11384,0,0
02-08-2014,12195,0,0
03-08-2014,11012,0,0
04-08-2014,1061,0,0
05-08-2014,17335,0,0
06-08-2014,19841,0,0
07-08-2014,14796,0,0
08-08-2014,15571,0,0
09-08-2014,1890,0,0
10-08-2014,6629,0,0
11-08-2014,2232,0,0
12-08-2014,6135,0,0
13-08-2014,16521,0,0
14-08-2014,8457,0,0
15-08-2014,3360,0,0
16-08-2014,8957,0,0
17-08-2014,7326,0,0
18-08-2014,5019,0,0
19-08-2014,12339,0,0
20-08-2014,3133,0,0
21-08-2014,13720,0,0
22-08-2014,14384,0,0
23-08-2014,7769,0,0
24-08-2014,6422,0,0
25-08-2014,3586,0,0
26-08-2014,2352,0,0
27-08-2014,6026,0,0
28-08-2014,2054,0,0
29-08-2014,3548,0,0
30-08-2014,6790,0,0
31-08-2014,8041,0,0
01-09-2014,2826,0,0
02-09-2014,8723,0,0
03-09-2014,8968,0,0
04-09-2014,1512,1,Kruisband operatie
05-09-2014,1745,0,0
06-09-2014,769,0,0
07-09-2014,1331,0,0
08-09-2014,1182,0,0
09-09-2014,1331,0,0
10-09-2014,2023,0,0
11-09-2014,1020,0,0
12-09-2014,1552,0,0
13-09-2014,1509,0,0
14-09-2014,2399,0,0
15-09-2014,3997,0,0
16-09-2014,4393,0,0
17-09-2014,3843,0,0
18-09-2014,4581,0,0
19-09-2014,3564,0,0
20-09-2014,3516,0,0
21-09-2014,3454,0,0
22-09-2014,7799,0,0
23-09-2014,3582,0,0
24-09-2014,4787,0,0
25-09-2014,1540,0,0
26-09-2014,2258,0,0
